WKT,name,coordinates,,
"POLYGON ((77.4746231 28.6612063, 77.4806314 28.6981038, 77.4615768 28.7175262, 77.4384069 28.7251002, 77.3740247 28.7329691, 77.33059 28.7161386, 77.3263882 28.696881, 77.325661 28.6869511, 77.324934 28.6770211, 77.3221875 28.6691894, 77.3203849 28.6630891, 77.3185825 28.6578924, 77.3162951 28.6504937, 77.3143513 28.6415882, 77.3237324 28.6360484, 77.3302555 28.6331857, 77.336607 28.6343911, 77.3824408 28.6339391, 77.4143699 28.6431294, 77.4256995 28.6414722, 77.4511055 28.636199, 77.4576286 28.636199, 77.4746231 28.6612063))",GHAZIABAD,"77.4746231 28.6612063, 77.4806314 28.6981038, 77.4615768 28.7175262, 77.4384069 28.7251002, 77.3740247 28.7329691, 77.33059 28.7161386, 77.3263882 28.696881, 77.325661 28.6869511, 77.324934 28.6770211, 77.3221875 28.6691894, 77.3203849 28.6630891, 77.3185825 28.6578924, 77.3162951 28.6504937, 77.3143513 28.6415882, 77.3237324 28.6360484, 77.3302555 28.6331857, 77.336607 28.6343911, 77.3824408 28.6339391, 77.4143699 28.6431294, 77.4256995 28.6414722, 77.4511055 28.636199, 77.4576286 28.636199, 77.4746231 28.6612063",,
"POLYGON ((77.2625095 28.6045203, 77.2834952 28.5891133, 77.3014542 28.5832166, 77.3070865 28.5894625, 77.3128907 28.5973664, 77.3258483 28.5995495, 77.3394531 28.60471, 77.3403558 28.6122816, 77.3386839 28.6233193, 77.3256809 28.6328498, 77.3143513 28.6415882, 77.322591 28.6768358, 77.3284275 28.7171903, 77.2408802 28.7737808, 77.2388203 28.7614419, 77.2295505 28.7472954, 77.2432835 28.7183947, 77.2347004 28.7078559, 77.2322971 28.6927988, 77.2341101 28.6702208, 77.2594196 28.6608704, 77.2680027 28.6446013, 77.2563297 28.624412, 77.2625095 28.6045203))",EAST DELHI,"77.2625095 28.6045203, 77.2834952 28.5891133, 77.3014542 28.5832166, 77.3070865 28.5894625, 77.3128907 28.5973664, 77.3258483 28.5995495, 77.3394531 28.60471, 77.3403558 28.6122816, 77.3386839 28.6233193, 77.3256809 28.6328498, 77.3143513 28.6415882, 77.322591 28.6768358, 77.3284275 28.7171903, 77.2408802 28.7737808, 77.2388203 28.7614419, 77.2295505 28.7472954, 77.2432835 28.7183947, 77.2347004 28.7078559, 77.2322971 28.6927988, 77.2341101 28.6702208, 77.2594196 28.6608704, 77.2680027 28.6446013, 77.2563297 28.624412, 77.2625095 28.6045203",,
"POLYGON ((77.3325497 28.6313848, 77.3433644 28.6217414, 77.3428494 28.6057677, 77.3378713 28.6013971, 77.3145253 28.5949162, 77.3031957 28.5816517, 77.3196751 28.5611488, 77.3198468 28.543507, 77.3534924 28.5082147, 77.3962361 28.4704962, 77.4455029 28.4946376, 77.414947 28.6384372, 77.3993252 28.6363286, 77.3847346 28.6318078, 77.3325497 28.6313848))",NOIDA,"77.3325497 28.6313848, 77.3433644 28.6217414, 77.3428494 28.6057677, 77.3378713 28.6013971, 77.3145253 28.5949162, 77.3031957 28.5816517, 77.3196751 28.5611488, 77.3198468 28.543507, 77.3534924 28.5082147, 77.3962361 28.4704962, 77.4455029 28.4946376, 77.414947 28.6384372, 77.3993252 28.6363286, 77.3847346 28.6318078, 77.3325497 28.6313848",,
"POLYGON ((77.4158053 28.6397931, 77.4309329 28.566917, 77.4455029 28.4946376, 77.414109 28.4768384, 77.4250953 28.4698971, 77.4264686 28.4557114, 77.4340217 28.4596353, 77.4405448 28.4412218, 77.4505012 28.4424294, 77.4786536 28.4243149, 77.4697273 28.4016674, 77.4783103 28.4013654, 77.48964 28.4161624, 77.4975364 28.410727, 77.5026862 28.3992514, 77.4947898 28.3847541, 77.5425117 28.3844521, 77.5807719 28.4605072, 77.5605159 28.5486051, 77.5162272 28.6028752, 77.4599223 28.6324106, 77.4158053 28.6397931))",GREATER NOIDA,"77.4158053 28.6397931, 77.4309329 28.566917, 77.4455029 28.4946376, 77.414109 28.4768384, 77.4250953 28.4698971, 77.4264686 28.4557114, 77.4340217 28.4596353, 77.4405448 28.4412218, 77.4505012 28.4424294, 77.4786536 28.4243149, 77.4697273 28.4016674, 77.4783103 28.4013654, 77.48964 28.4161624, 77.4975364 28.410727, 77.5026862 28.3992514, 77.4947898 28.3847541, 77.5425117 28.3844521, 77.5807719 28.4605072, 77.5605159 28.5486051, 77.5162272 28.6028752, 77.4599223 28.6324106, 77.4158053 28.6397931",,
"POLYGON ((77.2874563 28.4258571, 77.3743169 28.4231397, 77.373287 28.4765691, 77.3636739 28.497541, 77.3516576 28.4987479, 77.3463361 28.5031228, 77.3454778 28.5108161, 77.3267667 28.4898468, 77.3061674 28.4880363, 77.2994726 28.4893942, 77.2989576 28.4933168, 77.2903745 28.4948255, 77.2778433 28.4913555, 77.2874563 28.4258571))",GREATER FARIDABAD,"77.2874563 28.4258571, 77.3743169 28.4231397, 77.373287 28.4765691, 77.3636739 28.497541, 77.3516576 28.4987479, 77.3463361 28.5031228, 77.3454778 28.5108161, 77.3267667 28.4898468, 77.3061674 28.4880363, 77.2994726 28.4893942, 77.2989576 28.4933168, 77.2903745 28.4948255, 77.2778433 28.4913555, 77.2874563 28.4258571",,
"POLYGON ((77.2874563 28.4258571, 77.1749649 28.3667106, 77.2716103 28.3354389, 77.2937546 28.2940312, 77.3952065 28.3363454, 77.3734055 28.4221312, 77.2874563 28.4258571))",OLD FARIDABAD,"77.2874563 28.4258571, 77.1749649 28.3667106, 77.2716103 28.3354389, 77.2937546 28.2940312, 77.3952065 28.3363454, 77.3734055 28.4221312, 77.2874563 28.4258571",,
"POLYGON ((77.224575 28.7451352, 77.2344053 28.7688553, 77.2129917 28.7718088, 77.1845779 28.7849368, 77.1515306 28.7828676, 77.1528205 28.7513058, 77.163101 28.740488, 77.18265 28.7332822, 77.2097263 28.717363, 77.2281799 28.7130723, 77.2300682 28.7087814, 77.2373638 28.7200728, 77.224575 28.7451352))",NORTH DELHI 2,"77.224575 28.7451352, 77.2344053 28.7688553, 77.2129917 28.7718088, 77.1845779 28.7849368, 77.1515306 28.7828676, 77.1528205 28.7513058, 77.163101 28.740488, 77.18265 28.7332822, 77.2097263 28.717363, 77.2281799 28.7130723, 77.2300682 28.7087814, 77.2373638 28.7200728, 77.224575 28.7451352",,
"POLYGON ((77.1739832 28.710522, 77.163101 28.740488, 77.1528205 28.7513058, 77.1513239 28.7665142, 77.0406023 28.7720816, 76.9686762 28.751616, 76.955115 28.7108231, 76.9697062 28.7005847, 76.9624964 28.6894419, 77.1374194 28.6754363, 77.1739832 28.710522))",NORTH DELHI 1,"77.1739832 28.710522, 77.163101 28.740488, 77.1528205 28.7513058, 77.1513239 28.7665142, 77.0406023 28.7720816, 76.9686762 28.751616, 76.955115 28.7108231, 76.9697062 28.7005847, 76.9624964 28.6894419, 77.1374194 28.6754363, 77.1739832 28.710522",,
"POLYGON ((77.1644156 28.7397818, 77.1739832 28.710522, 77.1415846 28.6780525, 77.1771186 28.6616354, 77.1839405 28.6346952, 77.1641995 28.5949118, 77.1439434 28.5854158, 77.1797771 28.5731101, 77.1875083 28.5831439, 77.2564261 28.5924747, 77.2549564 28.6247134, 77.2597624 28.6360134, 77.2680027 28.6446013, 77.260546 28.6538025, 77.2511056 28.6636692, 77.2341101 28.6702208, 77.2308486 28.7078678, 77.2281799 28.7130723, 77.2097263 28.717363, 77.18265 28.7332822, 77.1644156 28.7397818))",CENTRAL DELHI,"77.1644156 28.7397818, 77.1739832 28.710522, 77.1415846 28.6780525, 77.1771186 28.6616354, 77.1839405 28.6346952, 77.1641995 28.5949118, 77.1439434 28.5854158, 77.1797771 28.5731101, 77.1875083 28.5831439, 77.2564261 28.5924747, 77.2549564 28.6247134, 77.2597624 28.6360134, 77.2680027 28.6446013, 77.260546 28.6538025, 77.2511056 28.6636692, 77.2341101 28.6702208, 77.2308486 28.7078678, 77.2281799 28.7130723, 77.2097263 28.717363, 77.18265 28.7332822, 77.1644156 28.7397818",,
"POLYGON ((77.0331859 28.619842, 77.0230579 28.6190886, 77.0191955 28.6191639, 77.0162772 28.6182598, 77.0147754 28.617205, 77.0108699 28.6150953, 77.008295 28.6159241, 77.0003127 28.6226298, 76.9952487 28.6172803, 76.9761943 28.6151707, 76.9806575 28.5428125, 77.008295 28.5416816, 77.0180797 28.539495, 77.0254611 28.5332365, 77.0326709 28.5321808, 77.0685405 28.5224445, 77.0668328 28.5493103, 77.0800494 28.5707065, 77.0910358 28.5835201, 77.0966148 28.5900017, 77.1087169 28.6043955, 77.0772607 28.6114816, 77.0507812 28.6101223, 77.0331859 28.619842))",WEST DELHI 1,"77.0331859 28.619842, 77.0230579 28.6190886, 77.0191955 28.6191639, 77.0162772 28.6182598, 77.0147754 28.617205, 77.0108699 28.6150953, 77.008295 28.6159241, 77.0003127 28.6226298, 76.9952487 28.6172803, 76.9761943 28.6151707, 76.9806575 28.5428125, 77.008295 28.5416816, 77.0180797 28.539495, 77.0254611 28.5332365, 77.0326709 28.5321808, 77.0685405 28.5224445, 77.0668328 28.5493103, 77.0800494 28.5707065, 77.0910358 28.5835201, 77.0966148 28.5900017, 77.1087169 28.6043955, 77.0772607 28.6114816, 77.0507812 28.6101223, 77.0331859 28.619842",,
